QUD	RT	item_id	cumulative_score	difficulty	answer_response	new_options	options	paragraph	question	source	startDate	startTime	trial_number	trial_type	submission_ind
Question 25/36	149576	r2903_3_High	22	High	1	1|2|0|3	show traditional and present ways to spend Qingming Festival .|enable us to observe traditional tomb-sweeping day.|educate people to show their respect to the ancestors|raise people's awareness of environmental protection.	"TANG Dynasty writer Du Mu once wrote in a poem titled Qingming: ""The ceaseless drizzle drips all the dismal day; So broken-hearted fares the traveler on the way.Where can a wine house be found to drown his sadness ?A cowherd points to Almond Flower (Xing Hua) Village in the distance.""\nQingming, the traditional tomb-sweeping day on the Chinese lunar calendar, falls on April 4 this year. Qingming Jie was proclaimed a Chinese national holiday in 2008. It is a time for remembering loved ones who have departed  . People visit their ancestors' graves to sweep away the dirt and get rid of any weeds. They also leave offerings   of food and flowers, and burn incense   and paper money. Chinese tombs are usually built in the woods or on mountains, far from the city. It is believed that an area that faces south, with many pine trees, is a proper place for a tomb. People believe such a place will make the ancestors happy, and in return, they will look after the living family.\nNowadays, more and more residents are choosing environmental-friendly ways to spend the holiday such as flower sacrifices and memorial ceremonies on the Internet or at home. As one of the traditional ways to celebrate Tomb-sweeping Day - burning paper or incense - isn't exactly good for air quality.\nIn contrast to the sadness of the tomb sweepers, people also enjoy hope of Spring on this day. The Qingming Festival is a time when the sun shines brightly, the trees and grass become green and nature is again lively. Since ancient times, people have followed the custom of Spring outings. At this time tourists are everywhere.\nMany people fly kites on Tomb Sweeping Day. They are usually made from a bamboo crossbow with coloured paper. The kite vibrates and buzzes as it rises into the sky, counterbalanced by its tail. Large kites can be as broad as three metres across, with a tail of six to ten metres. Most kites have a rectangular shape, and many have patterns of crabs, centipedes, butterflies, dragonflies, or Chinese characters such as ""good fortune"" or ""long life"". (361words)"	The writer write the passage in order to  _   .	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	25	reading_comprehension	3
Question 26/36	80472	r3920_2_Middle	22	Middle	0	2|1|3|0	at the age of twenty-two|when he was twelve years old|when he was at college|at the age sixteen	"Jeff Keith has only one leg. When he was 12 years old, Jeff had cancer. Doctors had to cut off most of his right leg. Everyday Jeff puts on an _ leg. The leg is plastic. With the plastic leg Jeff can ski, ride a bicycle, swim, and play soccer. He can also run.\nIn the photo, Jeff is running with some young men. They have plastic legs, too. They are wearing special T-shirts. The T-shirts say, ""Run, Jeff, Run. Jeff Keith Run Across America.""\nWhen he was 22 years old, Jeff Keith ran across the United State, from the East Coast to the West Coast. He started running in Boston. Seven months later, he stopped running in Los Angeles. He ran 3,200 miles, that's about 16 miles each day. Jeff wore out 36 pairs of running shoes and five plastic legs.\nJeff stopped in cities on the way to Los Angeles. In every city people gave Jeff money. The money was not for Jeff. It was for American Cancer Society. The American Cancer Society used the money to learn about cancer.\nOn the way to Los Angeles Jeff talked to people about cancer. He also talked about being disabled. Jeff is disabled, but he can do many things: he skis, swims, plays soccer, and runs. He finished college and is studying to be a lawyer. Jeff says, ""People can do anything they want to do. I want people to know that. I am not only for disabled people. I ran for everyone!""\n,."	Jeff ran across American   _  .	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	26	reading_comprehension	3
Question 27/36	139911	r8644_3_High	23	High	0	0|1|3|2	Isolated Amazon tribes are monitored with satellites.|Amazon tribes are disappearing.|Scientists found isolated Amazon tribes.|Modern civilization is threatening Amazon tribes.	"The vast jungles of the Amazon rainforest are home to tribes mostly isolated from the outside world,whose way of life,largely unchanged for hundreds of years,is now increasingly threatened by modern civilization.\nNow, scientists discover they can monitor these""uncontacted tribes""using satellites,which would allow inexpensive and safe tracking of these tribes in order to protect them from outside threats.\nIn order to help conserve these uncontacted Indians,researchers need accurate estimates of their populations.One way to collect this data involves flying over their villages,but such overflights are both expensive and could fill these native peoples with fear.Another strategy involves meeting individuals on the ground,but among other risks,scientists could accidentally spread disease to members of the tribes.\nInstead,scientists investigated whether satellite imaging could monitor uncontacted tribes. The result was inspiring.They confirmed their locations and measured the sizes of their Village,houses and gardens.""We can find isolated vinages with remote sensing and study them over time.""Walker told Live Science.""We can ask:Are they growing?Do they move?""\nSurprisingly,based on the sizes of the houses and Villages,the scientists find the population densities of these isolated villages are about 10 times greater,on average,than other villages of native Brazilian peoples.This may be due to the fact that they have to live closer together because they are not as good at clearing the forest,since they lack modern devices like chainsaws and tractors,the researchers said.The tribes may also be afraid of spreading out due to fear of being attacked by outsiders,Walker said.\nThe researchers now plan to focus on 29 more isolated villages to""look at their ecology--that is.distance from rivers and roads--and use this to model where else we can find more isolated villages,""Walker said."	What is the main idea of the text?	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	27	reading_comprehension	3
Question 28/36	31810	os14_7_2_Ele	24	Ele	0	1|3|2|0	They will not be utilized for a while|They will be used in practice before too long|They do not have radioactive decays|They reflect huge progress in the chemistry field	"To discover the elements, researchers at the three labs crashed lighter nuclei into one another and looked for the radioactive decays that should come from the new elements. 113 and 115 are probably metals. 117 could be a metalloid - a material with some metallic characteristics. The fourth element, 118, may be a gas. Paul Karol, chair of the IUPAC panel that checked the elements, said: ""It will be a long time before we can find practical uses for the new elements."""	What does Paul Karol say about the new elements?	Onestop	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	28	reading_comprehension	3
Question 29/36	84977	os15_2_1_Adv	25	Adv	2	1|3|0|2	Create computer-generated characters|Influence liars to fidget more|Protect FBI and CIA agents|Protect the body in cold weather	"The polygraph is widely used in the US in criminal and other cases and for security clearance for the FBI and CIA but is much less popular in Europe. There has been a lot of skepticism in the scientific and legal communities about its reliability. By contrast, the new method developed by the researchers has performed well in experiments. The basic premise is that liars fidget more and so the use of an all-body motion suit - the kind used in films to create computer-generated characters - will pick this up. One of the research team, Ross Anderson, said: ""Decades of deception research show that the interviewer will tell truth from lies only slightly better than random."" He said the new method, by contrast, achieved a reliability rating of over 70%. In some tests, the team has already achieved more than 80%. Anderson said: ""The takeaway message is that guilty people fidget more and we can measure this robustly."""	What can an all-body suit be used for?	Onestop	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	29	reading_comprehension	3
Question 30/36	86432	os5_5_2_Ele	25	Ele	0	0|2|3|1	Weatherly and the prime minister|Weatherly and copyright supporters|Artists and creative producers|The general public and copyright activists	"After the Downing Street meeting, Cameron asked the Conservative member of parliament Mike Weatherley to be his adviser on the subject. The BPI, an organization that supports music companies, said: ""Mike Weatherley is a strong supporter of copyright and the artists and creative producers it's there to protect. We hope Weatherley's influence and the prime minister's support for copyright will change what the government does about illegal downloading in the UK."""	Who does the BPI expect will drive change in copyright policy?	Onestop	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	30	reading_comprehension	3
Question 31/36	56676	r8066_3_Middle	26	Middle	0	0|3|1|2	work in a night club|work in an office|look after young children|deliver newspapers	Children in England mustn't work until they are 13. They need to have a work permit   to start working.\nThe jobs teenagers can do\nDelivering   newspapers\nMany teenagers will get up early to deliver newspapers to houses in their local area before going to school. They are known as Paper-boys or Papergirls.\nBabysitting: Looking after young children in their home while their parents have gone out for the evening is a popular job for teenagers, as they get money for watching children and television all at the same time!\nHelping the Milkman: From the age of 14 some teenagers help the milkman deliver milk to houses.\nOther popular jobs : Working in a shop; Office work; Washing cars ; In a cafe or restaurant. The hours teenagers (13 and 14 year olds )can work:\nSchool Days\nNot more than 2 hours in one day during the following periods:\nMorning 7 a. m. --start of school or Evening\nclose of school-- 7 p. m.\nSaturdays: Up to 5 hours between 7 a.m. and 7 p.m.\nSundays\nUp to 2 hours between 7 a.m. and 11 a. m.\nTerm time\nUp to 12 hours a week (Including weekends)	Teenagers in England can do all of the following except   _   .	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	31	reading_comprehension	3
Question 32/36	38696	os3_1_1_Ele	27	Ele	0	2|0|3|1	He gave the money to projects that were anti-capitalist|He gave the money to projects that supported alternatives to socialism|He hid the money for 14 months|He gave the money to charities and humanitarian projects	"They call him the Robin Hood of the banks. He is a man who took out loans for almost half a million euros and never paid the money back. Enric Duran gave the money to projects that created and supported alternatives to capitalism. Duran has spent 14 months in hiding. He will not say he is sorry, even though he might go to prison for what he has done. ""I'm proud of what I've done,"" he said in an interview by Skype from a secret location."	What did Enric Duran do with the money he took from the banks?	Onestop	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	32	reading_comprehension	3
Question 33/36	29515	r7429_1_Middle	28	Middle	0	1|2|0|3	612 dollars|3 dollars|90 dollars|612 yuan	Victory Bacelis is a California immigrant who grew up in a poor village in Mexico. He is used to working hard. He works more than 90 hours a week at three different jobs, including McDonal's. He is saving up to buy a house.\nOne day, while Victory was cleaning the floor at McDonal's, he found an envelope and picked it up. There was $612 in it. He called the police to report the lost money. The police couldn't find the owner, so they gave the money back to Victory.\nThen Victory read a story in the newspaper about Adrian Snadoval, a baby who was very sick. Victory decided to give the money away to help pay for the baby's operation. Victory truly has a heart of gold.	What was in the envelope?	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	33	reading_comprehension	3
Question 34/36	57495	r3908_1_Middle	29	Middle	2	3|1|0|2	Share your love with others.|Work hard to have more than others.|Be a volunteer.|Make your playtime more enjoyable.	"When you were very young, you liked to play with your friends. Did you find that playtime was always more fun when everyone shared the toys? Everyone got a turn. No one was left out.\nThat's a life lesson that changes as you get older. As you grow up, you begin to understand that others have less than you do - in China and in the world. And that those of us who ""have"" things should help those who "" have less"" than we do. The idea of sharing _ \nAt your age, you can ""share"" with people in need in three ways.\n1. You can give them a part of your money. Many adults do that regularly.\n2. You can share items you no longer use, such as clothing and toys. You can pass them onto others who cannot buy them.\n3. You can help people by giving your time and your energy.\nThe last one is also called volunteering. Volunteering is about giving your time to take part in activities that will help others. Every year, many thousands of volunteers in the world give the most valuable gift of all. They give their time. They give their talent. They give of themselves. And they are enjoying it. Volunteering isn't just about work. It's about fun too.\n,."	What's the best title for this passage?	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	34	reading_comprehension	3
Question 35/36	70128	r17934_1_High	29	High	0	3|1|0|2	At the age of 11, he became the youngest student at the Harvard University.|His IQ reached between 220 and 230.|At the age of 16, he graduated from a grammar school.|At the age of 6, he graduated with both Master's and Bachelor's degrees.	"Born in America in 1898, William was an extraordinary boy, gifted with an amazing IQ between 250 and 300. The genius went to a grammar school when he was only 6 years old and graduated just within 7 months. At the age of 11, he became the youngest student of the Harvard University. He graduated with high scores at the age of 16 and entered Harvard Law School at 18.\n    Gifted with an amazing IQ between 220 and 230, Terence Tao makes it to this list of the people with the highest IQ in the world. Born in Adelaide, Australia in 1975, this genius first displayed his incredible intelligence at a mere age of 2, when he managed to solve basic arithmetic questions on his own. At the age of 16, he graduated with both Master's and Bachelor's degrees at the Flinders University. He has been considered as ''Mr. Fix it "" by Charles Fefferman, who is a professor of Mathematics at Princeton University, and many other mathematicians want to interest him in their problems.\n    This 31-year-old Japanese-American astrophysicist lands him third in this list. At the age of 12, Christopher Hirata already worked on college-level courses, around the time most of us were just in the 7th grade. At the age of 13, this gifted kid became the youngest American to have ever won the gold medal in the International physics Olympiad.\nAt the age of 16, he was already working with NASA on its project to conquer planet Mars. After he was awarded the Ph.D. at Princeton University, he went back to California Institute of Technology.\n    The next person with very high IQ is Albert Einstein. With an IQ between 160 and 190, Albert Einstein is the genius behind the theory of relativity, which has had great impact on the world of science. He possessed such an amazing ability that after his death, researchers were eager to preserve and make research on his brain in search for clues to his exceptional brilliance, which to this day, has remained a mystery. \nks5u"	About William, which of the following is true?	RACE	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	35	reading_comprehension	3
Question 36/36	51015	os11_6_2_Adv	30	Adv	0	1|3|2|0	She has to remember details about her dining experience and write them in reports|She has to write down notes while eating her meal|She has to make over 500 restaurant visits per year|She has to work during weekends	"Hannah, a 41-year-old City lawyer, has conducted nearly 500 visits for the Mystery Dining Company in her spare time without receiving remuneration or travel expenses. As a prestigious ""platinum diner"", she is regularly hand-picked by the Mystery Dining Company to carry out their most exclusive assignments, enjoying PS200 meals at Michelin-starred Mayfair restaurants and overnight stays at boutique hotels. But there's no such thing as a free lunch, even if you work for a mystery dining company. Hannah says she typically spends two to four hours after each visit writing detailed reports on everything from the quality of the food to specific interactions with staff, whom she always needs to be able to name or ""subtly"" describe. Trickiest of all, she must memorize all these details while eating her meal - unable, of course, to openly write anything down."	Why can Hanna's job be difficult?	Onestop	Thu Oct 31 2019 08:44:41 GMT-0400 (Eastern Daylight Time)	1572530000000.0	36	reading_comprehension	3
Question 1/36	93775	r23185_1_High	0	High	1	1|2|0|3	Bugs Eat Waste and Excrete Petrol|Waste Turns into Crude Oil|A Promising Business|Software Executive Turned to Bugs	"""Ten years ago I could never have imagined I'd be doing this,""says Greg Pal,33,a former software executive. ""I mean ,this is essentially agriculture ,right? But the people I talk to, especially the ones coming out of business school , think this is the one hot area everyone wants to get into .""\n    He means bugs. To be more accurate, the genetic  change of bugs---very, very small ones---so that when they feed on agricultural waste such as woodchip or wheat straw ,they do something extraordinary . They excrete   crude oil.\n   Unbelievably ,this is not science fiction .Mr. Pal holds up a small cup of bug excretion that could ,in theory ,be poured into the tank of the big Lexus SUX next to us .Not that Mr. Pal was willing to risk it just yet .He gives it a month before the first vehicle is filled up with what he calls ""renewable petroleum "".After that ,he smiles ,""It's a brave new world.""\n    Mr. Pal is a senior director of LS9,one of several companies in or near Silicon Valley.The company is not interested in using corn as material ,given the much-advertised problems created by using food crops for fuel .Instead ,different types of agricultural waste will be used according to whatever makes sense for the local climate and economy :wheat straw in California ,for example ,or woodchip in the south.\n    Are Americans ready to be putting genetically changed bug excretion in their cars? ""It's not the same as with food,""Mr. Pal say .""We are putting these bacteria in a very isolated container. Their entire universe is in that tank .When we've done with them .they are destroyed.""\n   "" Besides "",he says ,""there is greater good being served."""" I have two children, and climate change is something that they are going to face .The energy crisis is something that they are going to face .We have a collective responsibility to do this."""	What would be the best title for the passage?	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	1	reading_comprehension	4
Question 2/36	22045	os6_1_1_Ele	0	Ele	0	1|3|0|2	He had blue eyes and dark skin|He had blond hair and dark skin|He was a European hunter-gatherer|He had larger bones than modern man	Scientists have taken DNA from the tooth of a European hunter-gatherer and have found out what modern humans looked like before they started farming. The Mesolithic man, who lived in Spain about 7,000 years ago, had an unusual mix of blue eyes, black or brown hair and dark skin. He was probably lactose intolerant and could not digest starchy foods easily.	What was unusual about the Mesolithic man?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	2	reading_comprehension	4
Question 3/36	103288	r16900_2_High	1	High	0	3|2|0|1	To preserve the customer's confidence.|To increase the service prices.|To express thanks to the customer.|To explain the causes of the poor service.	Dear Ms Morris,\nWe have come to know of an unfortunate incident you had with our customer service department and we would like to deeply apologize for the inconvenience caused to you by the customer service manager's behavior. We have noted down your complaint (number 797329SA) and would like to let you know that strict action will be taken against the employee. He is a new employee with little experience and so his attitude towards his job was over enthusiastic and he lacked proper judgment.\nWe are by no means excusing his behavior but I would like to request you not to take any legal action against the company as we are very sorry for what happened. To express our appreciation, please accept the offer of free servicing of all products of our company that you own for up to three years. We will also make sure that the faulty  air conditioner is replaced by us at no extra cost so that you do not face any further problem.\nOnce again, we are very sorry for the incident. Please contact us if you have any questions.\n                                                           Yours sincerely,\n                                                              Nate Borges\nDear sir,\nI should like to apologize for the inconvenience caused to you due to poor Internet connectivity. I understand that you require the Internet all through the day as all your business deals are done online and since last week your work has been affected a great deal.\nWe are continually working towards providing the best possible services to our customers. You have been using our service for the last three years and are aware of the excellent quality of service offered by us. However, this time due to some major technical fault the Internet service was interrupted and our customers in your part of the city are facing our poor Internet connectivity problems.\nThe issue is likely to be solved within the next two days; kindly bear with us until then. Once again I apologize for the poor service.\n                                                           Yours faithfully,\n                                                              David Johns	Why does David Johns mention their level of service in the past?	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	3	reading_comprehension	4
Question 4/36	25692	os19_2_3_Ele	2	Ele	0	3|2|1|0	A member of the Transform Drug Policy Foundation|A delegate to a UN convention|An indigenous Bolivian fighting for the right to chew coca leaves|A researcher studying the health benefits of coca	"South American Indians have chewed coca leaves for hundreds of years. The leaves give energy and have medicinal qualities. People who support Bolivia's position said that defending the rights of indigenous people was the right thing to do. ""The Bolivian move is very important,"" said Danny Kushlick, of the Transform Drug Policy Foundation. ""It shows that any country that doesn't want to continue the war on drugs can change its relations with the UN conventions."""	Who is Danny Kushlick?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	4	reading_comprehension	4
Question 5/36	47065	os2_1_3_Adv	3	Adv	0	3|0|2|1	Yes, it can be combined with existing treatments|No, oxytocin will not be effective if other treatments are used|Yes, if the patient already has normal social responses|The researchers think it is too early to know	"A nasal spray laced with the 'Love hormone' oxytocin could help children with autism learn to handle social situations better, US researchers claim. Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them. The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations. ""Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,"" said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University."	Do the researchers expect oxytocin to interact well with other treatments?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	5	reading_comprehension	4
Question 6/36	61037	r8644_2_High	4	High	0	2|3|0|1	they could pass disease to the Indians|they can't get accurate data|they will be attacked by the Indians|they will catch disease from the Indians	"The vast jungles of the Amazon rainforest are home to tribes mostly isolated from the outside world,whose way of life,largely unchanged for hundreds of years,is now increasingly threatened by modern civilization.\nNow, scientists discover they can monitor these""uncontacted tribes""using satellites,which would allow inexpensive and safe tracking of these tribes in order to protect them from outside threats.\nIn order to help conserve these uncontacted Indians,researchers need accurate estimates of their populations.One way to collect this data involves flying over their villages,but such overflights are both expensive and could fill these native peoples with fear.Another strategy involves meeting individuals on the ground,but among other risks,scientists could accidentally spread disease to members of the tribes.\nInstead,scientists investigated whether satellite imaging could monitor uncontacted tribes. The result was inspiring.They confirmed their locations and measured the sizes of their Village,houses and gardens.""We can find isolated vinages with remote sensing and study them over time.""Walker told Live Science.""We can ask:Are they growing?Do they move?""\nSurprisingly,based on the sizes of the houses and Villages,the scientists find the population densities of these isolated villages are about 10 times greater,on average,than other villages of native Brazilian peoples.This may be due to the fact that they have to live closer together because they are not as good at clearing the forest,since they lack modern devices like chainsaws and tractors,the researchers said.The tribes may also be afraid of spreading out due to fear of being attacked by outsiders,Walker said.\nThe researchers now plan to focus on 29 more isolated villages to""look at their ecology--that is.distance from rivers and roads--and use this to model where else we can find more isolated villages,""Walker said."	Scientists don't want to meet the Indians on the ground due to the fear that  _	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	6	reading_comprehension	4
Question 7/36	54030	r23574_1_High	5	High	0	1|3|0|2	Nick Vujicic is serious about his marriage.|Nick Vujicic is not popular with women.|Nick Vujicic is afraid of starting a family.|Nick Vujicic is not willing to get married.	"Nick Vujicic was born with no arms or legs, but he doesn't let this stop him. \n         The brave 26-year-old man plays football and golf, and swims, in spite of the fact that he has no arms or legs. \n         Nick has a small foot on his left side, which helps him balance and makes him able to kick. He uses his one foot to type, write with a pen and pick things up. \n         ""I call it my chicken drumstick  ,"" joked Nick, who was born in Melbourne, Australia, but now lives in Los Angeles. ""I'd be lost without it. When I get in the water I float because 80 percent of my body is lungs and my drumstick acts as a propeller  .""\n         ""He's very modest, but he gets marriage proposals   from women all the time,"" said Nick's friend Steve Appel.\n         ""He would love to get married and start a family, but he's waiting for the right girl to come along.""\n         When Nick was born his father was so shocked that he left the hospital room. His  _ mother couldn't bring herself to hold him until he was four months old.\n         His disability came without any medical explanation, which was a rare case. Nick and his parents spent many years asking why this cruel trick would happen to them. \n         ""My mother was a nurse and she did everything right during pregnancy but she still blamed herself,"" he said.\n         ""It was so hard for them, but right from the start they did their best to make me independent. My dad put me in the water at 18 months and gave me the courage to learn how to swim."""	What can we learn from what Steve Appel said?	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	7	reading_comprehension	4
Question 8/36	60020	os4_2_2_Adv	6	Adv	0	2|1|3|0	He thinks that it is possible to resolve these problems|He believes the problems might be too difficult to fix|He thinks that blocked GPS signals will be the hardest problem to fix|He believes that his company will be the first to offer solutions to the problems	"Professor Sanjiv Singh, who runs a cargo delivery company called NearEarth, said that piloting a state-of-the-art drone was a little more like leaving it a trail of breadcrumbs: go to this altitude, perform this short task, go back home. But even short flights from a mobile landing pad pose serious logistical problems, he said. ""They're not proposing to deliver from one uninhabited place to another uninhabited place; they're proposing to deliver from a warehouse to where the consumer is, which is likely an urban area,"" he said. ""There are going to be hazards along the way that the vehicle is going to have to detect. Maybe there will be terrain that the map doesn't know about. Even then, maybe there's construction equipment that wasn't there but is there now. Maybe GPS signals are blocked, in which case it's going to have an incorrect idea about where it is."" All this is surmountable, he said - but it's difficult."	What does Professor Singh think about fixing current drone delivery problems?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	8	reading_comprehension	4
Question 9/36	33281	r1972_1_Middle	7	Middle	0	1|3|0|2	The king,|A rich man.|Himself.|His friend.	"Long, long ago there was an old man. He had a very big orange tree in his garden. On the tree there were many fine oranges.\nOne day the old man found one of the oranges was bigger than the others. It was as big as a watermelon. So he took the big orange to the king. The king was very happy and gave the old man a lot of money for it.\nWhen a rich man heard of this, he said to himself, ""It is only an orange. Why did the king give him so much money? If I take my gold cup to the king, he will give me much more money for it.""\nThe next day when the king got the gold cup, he said to the rich man, ""What a beautiful cup! I'll give you something for it. Please take the great orange."""	Who did the old man give the big orange to?	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	9	reading_comprehension	4
Question 10/36	31727	r5580_1_Middle	8	Middle	0	1|2|3|0	it helps children do their schoolwork well|it can help children grow fast|it makes children know what they are doing|it is easy to do for children	We know exercise is important in our life. Everyone needs to do exercise. Doctors say doing sports is good for us. Sports can make our body healthy.\nIt's very useful  for children, too. It can make children clever. This means they will do well in study and schoolwork.\nThere are easy ways to exercise. You can walk, run, or only jump. When you do exercise, you need to know what you are doing. Don't do sports too much at a time. Try all kinds of sports and look for one, two or even three sports you like. You can also exercise at the gym . Exercise can be fun. It can make you happy. Friends can exercise together at a gym or they can do sports together at any place they like.	Doing sports is important for children because   _  .	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	10	reading_comprehension	4
Question 11/36	33067	os7_3_2_Adv	9	Adv	0	1|0|3|2	To give an example of the cleverness of octopuses|To explain that octopuses like opening jars|To prove that octopuses can squeeze through gaps the size of coins|To convey that there were other octopuses in the aquarium	"Reiss Jenkinson, exhibits keeper at the National Aquarium, said he was absolutely certain Inky had not been taken. ""I understand the nature of octopus behavior very well,"" he said. ""I have seen octopuses on boats slip through bilge pumps. And, the security here is too tight for anyone to take Inky and why would they?"" Because octopuses have no bones, they are able to fit into extremely small spaces and have been filmed squeezing through gaps the size of coins. They are also understood to be extremely intelligent and capable of using tools. At the Island Bay Marine Education Center in Wellington, an octopus was found to be in the habit of visiting another tank overnight to steal crabs, then returning to its own. Another at the center, Ozymandias, was thought to have broken a world record for opening a jar before it was released into the ocean."	Why does the article mention Ozymandias?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	11	reading_comprehension	4
Question 12/36	69350	r13066_3_High	10	High	0	0|3|2|1	Which president to honor.|When to celebrate the holiday.|How to celebrate the holiday.|Where to celebrate the holiday.	"This Monday,the nation will start to celebrate Presidents' Day,just seven days before George Washington's birthday.Everyone agrees that day is a holiday,but is it just to celebrate George Washington's Birthday? What about Abraham Lincoln? Some government offices call it Presidents' Day.Others say the holiday is officially Washington's Birthday.Confused yet?\nGeorge Washington was elected the country's first President on April 30,1789.Soon after,Americans began publicly celebrating his birthday.Presidential historians say the actual date of George Washington's birth is February 11,1732.But a change in the calendar system 20 years later shifted all dates,making Washington's birthday February 22,which is now well accepted.In 1879.Congress made Washington's birthday an official federal holiday.It was the first federal holiday to celebrate an individual's birthday.In 1968,Congress passed the Monday Holidays Act,which moved the holiday to the third Monday in February.The new law did not change the holiday's name.It was still called Washington's Birthday,even though some lawmakers wanted to call it Presidents' Day to include Abraham Lincoln,whose actual birthday is February 12.\nMany people argue that the holiday should celebrate all past Presidents.They feel Lincoln should be honored for his role in preserving the nation during the Civil War and helping to free slaves.Others feel the holiday should only honor Washington.the country's first President.They say shifting the focus away from Washington would mean future generations of kids would not know about the Father of Our Country.\nLaws have been introduced in Congress over the years to require use of the term ""George Washington's Birthday.""but none of those laws have been passed.Meanwhile,many state governments and school districts now use the term ""Presidents' Day.""Many stoles also use it to promote holiday sales.\nShould the holiday honor Washington,Washington and Lincoln,or all past Presidents? Write to emailbag@timeforkids.com and tell us what you think."	What's the main argument about this holiday?	RACE	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	12	reading_comprehension	4
Question 13/36	35151	os11_3_3_Adv	11	Adv	0	2|0|1|3	Items that comply with the assigned department or item type|Any item she wants|Any item she wants, as long as it costs between PS5 and PS20|Items that were not assigned to other mystery shoppers	"Shoppers are usually repaid any money they spend in the stores. ""I'm typically given between PS5 and PS20 to spend at each store, to assess the service I receive at the counter,"" says Laura, a 50-year-old mystery shopper from Devon, who has been paid to visit around 7,000 shops since 2001. The purchase usually has to be related to a service or a type of product that the retailer wants her to check. ""I'm always given a scenario, such as buying something from a specific department or a new product range, but, within that framework, I can often buy whatever I want - and keep it."""	What items can Laura purchase at stores?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	13	reading_comprehension	4
Question 14/36	25284	os9_4_1_Adv	12	Adv	0	0|3|2|1	The working day should be adjusted to our natural rhythms|Our rhythms have to be adjusted to our working day|This relation is in sync only once we reach the age of 30 or 35|They are in sync for most but not all people	"But it isn't just students who would benefit from a later start. Kelley says the working day should be more forgiving of our natural rhythms. Describing the average sleep loss per night for different age groups, he says: ""Between 14 and 24, it's more than two hours. For people aged between 24 and about 30 or 35, it's about an hour and a half. That can continue up until you're about 55 when it's in balance again. The 10-year-old and 55-year-old wake and sleep naturally at the same time."""	What does Kelley say about the relationship between working hours and natural rhythms?	Onestop	Thu Oct 31 2019 08:54:03 GMT-0400 (Eastern Daylight Time)	1572530000000.0	14	reading_comprehension	4
